chapter,concept_id,display_name,determinism_class,spec_file,parameter_name,parameter_description,parameter_type_if_available,calibration_scope,required_for_detection,missing_feed_behavior,notes
1: Read Discipline & Interpretation Method,ch01_the_read_vs_the_touch,The Read vs. The Touch,JUDGMENT_ASSISTED,spec/detection_specs/ch01_the_read_vs_the_touch.yaml,the_read_vs_the_touch_downgrade_rule,"Rule for downgrading late, conflicted, thin, or unsupported evidence.",confidence_rule,instrument_session_timeframe_regime,REVIEW_REQUIRED,missing_calibration_parameters: INSUFFICIENT_EVIDENCE; missing_required_input: INSUFFICIENT_EVIDENCE; missing_optional_input: DEGRADED_CONFIDENCE,status=review_required; unit=confidence_rule
1: Read Discipline & Interpretation Method,ch01_the_read_vs_the_touch,The Read vs. The Touch,JUDGMENT_ASSISTED,spec/detection_specs/ch01_the_read_vs_the_touch.yaml,the_read_vs_the_touch_evidence_weighting_protocol,Review protocol for weighing evidence families without pretending the read is deterministic.,human_review_rule,instrument_session_timeframe_regime,REVIEW_REQUIRED,missing_calibration_parameters: INSUFFICIENT_EVIDENCE; missing_required_input: INSUFFICIENT_EVIDENCE; missing_optional_input: DEGRADED_CONFIDENCE,status=review_required; unit=human_review_rule
2: Level Interaction & Acceptance,ch02_acceptance_vs_rejection,Acceptance vs. Rejection,CALIBRATED,spec/detection_specs/ch02_acceptance_vs_rejection.yaml,acceptance_activity_threshold,Relative activity beyond the level required to corroborate acceptance when volume-at-price is available.,relative_volume,instrument_session_timeframe_regime,YES,"missing_calibration_parameters: INSUFFICIENT_EVIDENCE: without calibrated dwell, buffer, and activity parameters the rule structure cannot be evaluated; the spec must not substitute universal default values.; missing_required_input: REFUSE_TO_CLASSIFY",status=calibration_required; unit=relative_volume
2: Level Interaction & Acceptance,ch02_acceptance_vs_rejection,Acceptance vs. Rejection,CALIBRATED,spec/detection_specs/ch02_acceptance_vs_rejection.yaml,acceptance_dwell_time,Minimum time price must hold beyond the level buffer to be considered accepted.,duration,instrument_session_timeframe_regime,YES,"missing_calibration_parameters: INSUFFICIENT_EVIDENCE: without calibrated dwell, buffer, and activity parameters the rule structure cannot be evaluated; the spec must not substitute universal default values.; missing_required_input: REFUSE_TO_CLASSIFY",status=calibration_required; unit=duration
2: Level Interaction & Acceptance,ch02_acceptance_vs_rejection,Acceptance vs. Rejection,CALIBRATED,spec/detection_specs/ch02_acceptance_vs_rejection.yaml,failed_acceptance_window,Window after an apparent acceptance within which a return back through the level is classified as failed acceptance.,duration,instrument_session_timeframe_regime,YES,"missing_calibration_parameters: INSUFFICIENT_EVIDENCE: without calibrated dwell, buffer, and activity parameters the rule structure cannot be evaluated; the spec must not substitute universal default values.; missing_required_input: REFUSE_TO_CLASSIFY",status=calibration_required; unit=duration
2: Level Interaction & Acceptance,ch02_acceptance_vs_rejection,Acceptance vs. Rejection,CALIBRATED,spec/detection_specs/ch02_acceptance_vs_rejection.yaml,level_buffer,Distance beyond the level price must clear before holding counts as beyond the level rather than at it.,price_distance_ticks_or_atr_fraction,instrument_session_timeframe_regime,YES,"missing_calibration_parameters: INSUFFICIENT_EVIDENCE: without calibrated dwell, buffer, and activity parameters the rule structure cannot be evaluated; the spec must not substitute universal default values.; missing_required_input: REFUSE_TO_CLASSIFY",status=calibration_required; unit=price_distance_ticks_or_atr_fraction
2: Level Interaction & Acceptance,ch02_acceptance_vs_rejection,Acceptance vs. Rejection,CALIBRATED,spec/detection_specs/ch02_acceptance_vs_rejection.yaml,rejection_return_speed,Speed of return through the level used to distinguish a clean rejection from slow drift.,duration_or_velocity,instrument_session_timeframe_regime,YES,"missing_calibration_parameters: INSUFFICIENT_EVIDENCE: without calibrated dwell, buffer, and activity parameters the rule structure cannot be evaluated; the spec must not substitute universal default values.; missing_required_input: REFUSE_TO_CLASSIFY",status=calibration_required; unit=duration_or_velocity
2: Level Interaction & Acceptance,ch02_break_quality,Break Quality,CALIBRATED,spec/detection_specs/ch02_break_quality.yaml,break_quality_classification_requirement,Calibrated evidence requirement for Break Quality.,relative_or_sequence_measure,instrument_session_timeframe_regime,YES,missing_calibration_parameters: INSUFFICIENT_EVIDENCE; missing_required_input: REFUSE_TO_CLASSIFY; missing_optional_input: DEGRADED_CONFIDENCE,status=calibration_required; unit=relative_or_sequence_measure
2: Level Interaction & Acceptance,ch02_break_quality,Break Quality,CALIBRATED,spec/detection_specs/ch02_break_quality.yaml,break_quality_confirmation_window,"Review window for confirmation, failure, downgrade, or refusal behavior.",duration_or_bars,instrument_session_timeframe_regime,YES,missing_calibration_parameters: INSUFFICIENT_EVIDENCE; missing_required_input: REFUSE_TO_CLASSIFY; missing_optional_input: DEGRADED_CONFIDENCE,status=calibration_required; unit=duration_or_bars
2: Level Interaction & Acceptance,ch02_break_quality,Break Quality,CALIBRATED,spec/detection_specs/ch02_break_quality.yaml,break_quality_conflict_downgrade_rule,Rule for downgrading when required and optional evidence conflict.,evidence_conflict_rule,instrument_session_timeframe_regime,YES,missing_calibration_parameters: INSUFFICIENT_EVIDENCE; missing_required_input: REFUSE_TO_CLASSIFY; missing_optional_input: DEGRADED_CONFIDENCE,status=calibration_required; unit=evidence_conflict_rule
2: Level Interaction & Acceptance,ch02_breakout_continuation_vs_breakout_failure,Breakout Continuation vs. Breakout Failure,CALIBRATED,spec/detection_specs/ch02_breakout_continuation_vs_breakout_failure.yaml,break_clear_buffer,"break_clear_buffer parameter; value must be supplied by later calibration or method configuration, not P16.",configured,instrument_session_timeframe_regime,YES,missing_calibration_parameters: INSUFFICIENT_EVIDENCE; missing_required_input: REFUSE_TO_CLASSIFY; missing_optional_input: DEGRADED_CONFIDENCE,status=calibration_required; unit=configured
2: Level Interaction & Acceptance,ch02_breakout_continuation_vs_breakout_failure,Breakout Continuation vs. Breakout Failure,CALIBRATED,spec/detection_specs/ch02_breakout_continuation_vs_breakout_failure.yaml,extension_requirement,"extension_requirement parameter; value must be supplied by later calibration or method configuration, not P16.",configured,instrument_session_timeframe_regime,YES,missing_calibration_parameters: INSUFFICIENT_EVIDENCE; missing_required_input: REFUSE_TO_CLASSIFY; missing_optional_input: DEGRADED_CONFIDENCE,status=calibration_required; unit=configured
2: Level Interaction & Acceptance,ch02_breakout_continuation_vs_breakout_failure,Breakout Continuation vs. Breakout Failure,CALIBRATED,spec/detection_specs/ch02_breakout_continuation_vs_breakout_failure.yaml,failure_return_window,"failure_return_window parameter; value must be supplied by later calibration or method configuration, not P16.",configured,instrument_session_timeframe_regime,YES,missing_calibration_parameters: INSUFFICIENT_EVIDENCE; missing_required_input: REFUSE_TO_CLASSIFY; missing_optional_input: DEGRADED_CONFIDENCE,status=calibration_required; unit=configured
2: Level Interaction & Acceptance,ch02_breakout_continuation_vs_breakout_failure,Breakout Continuation vs. Breakout Failure,CALIBRATED,spec/detection_specs/ch02_breakout_continuation_vs_breakout_failure.yaml,follow_through_window,"follow_through_window parameter; value must be supplied by later calibration or method configuration, not P16.",configured,instrument_session_timeframe_regime,YES,missing_calibration_parameters: INSUFFICIENT_EVIDENCE; missing_required_input: REFUSE_TO_CLASSIFY; missing_optional_input: DEGRADED_CONFIDENCE,status=calibration_required; unit=configured
2: Level Interaction & Acceptance,ch02_breakout_continuation_vs_breakout_failure,Breakout Continuation vs. Breakout Failure,CALIBRATED,spec/detection_specs/ch02_breakout_continuation_vs_breakout_failure.yaml,retest_hold_window,"retest_hold_window parameter; value must be supplied by later calibration or method configuration, not P16.",configured,instrument_session_timeframe_regime,YES,missing_calibration_parameters: INSUFFICIENT_EVIDENCE; missing_required_input: REFUSE_TO_CLASSIFY; missing_optional_input: DEGRADED_CONFIDENCE,status=calibration_required; unit=configured
2: Level Interaction & Acceptance,ch02_level_magnetism_and_decay,Level Magnetism & Decay,CALIBRATED,spec/detection_specs/ch02_level_magnetism_and_decay.yaml,level_magnetism_and_decay_classification_requirement,Calibrated evidence requirement for Level Magnetism & Decay.,relative_or_sequence_measure,instrument_session_timeframe_regime,YES,missing_calibration_parameters: INSUFFICIENT_EVIDENCE; missing_required_input: REFUSE_TO_CLASSIFY; missing_optional_input: DEGRADED_CONFIDENCE,status=calibration_required; unit=relative_or_sequence_measure
2: Level Interaction & Acceptance,ch02_level_magnetism_and_decay,Level Magnetism & Decay,CALIBRATED,spec/detection_specs/ch02_level_magnetism_and_decay.yaml,level_magnetism_and_decay_confirmation_window,"Review window for confirmation, failure, downgrade, or refusal behavior.",duration_or_bars,instrument_session_timeframe_regime,YES,missing_calibration_parameters: INSUFFICIENT_EVIDENCE; missing_required_input: REFUSE_TO_CLASSIFY; missing_optional_input: DEGRADED_CONFIDENCE,status=calibration_required; unit=duration_or_bars
2: Level Interaction & Acceptance,ch02_level_magnetism_and_decay,Level Magnetism & Decay,CALIBRATED,spec/detection_specs/ch02_level_magnetism_and_decay.yaml,level_magnetism_and_decay_conflict_downgrade_rule,Rule for downgrading when required and optional evidence conflict.,evidence_conflict_rule,instrument_session_timeframe_regime,YES,missing_calibration_parameters: INSUFFICIENT_EVIDENCE; missing_required_input: REFUSE_TO_CLASSIFY; missing_optional_input: DEGRADED_CONFIDENCE,status=calibration_required; unit=evidence_conflict_rule
2: Level Interaction & Acceptance,ch02_level_test_sequence,Level Test Sequence,CALIBRATED,spec/detection_specs/ch02_level_test_sequence.yaml,decay_review_count_policy,"decay_review_count_policy parameter; value must be supplied by later calibration or method configuration, not P16.",configured,instrument_session_timeframe_regime,YES,missing_calibration_parameters: INSUFFICIENT_EVIDENCE; missing_required_input: REFUSE_TO_CLASSIFY; missing_optional_input: DEGRADED_CONFIDENCE,status=calibration_required; unit=configured
2: Level Interaction & Acceptance,ch02_level_test_sequence,Level Test Sequence,CALIBRATED,spec/detection_specs/ch02_level_test_sequence.yaml,level_buffer,"level_buffer parameter; value must be supplied by later calibration or method configuration, not P16.",configured,instrument_session_timeframe_regime,YES,missing_calibration_parameters: INSUFFICIENT_EVIDENCE; missing_required_input: REFUSE_TO_CLASSIFY; missing_optional_input: DEGRADED_CONFIDENCE,status=calibration_required; unit=configured
2: Level Interaction & Acceptance,ch02_level_test_sequence,Level Test Sequence,CALIBRATED,spec/detection_specs/ch02_level_test_sequence.yaml,reaction_quality_requirement,"reaction_quality_requirement parameter; value must be supplied by later calibration or method configuration, not P16.",configured,instrument_session_timeframe_regime,YES,missing_calibration_parameters: INSUFFICIENT_EVIDENCE; missing_required_input: REFUSE_TO_CLASSIFY; missing_optional_input: DEGRADED_CONFIDENCE,status=calibration_required; unit=configured
2: Level Interaction & Acceptance,ch02_level_test_sequence,Level Test Sequence,CALIBRATED,spec/detection_specs/ch02_level_test_sequence.yaml,test_identification_window,"test_identification_window parameter; value must be supplied by later calibration or method configuration, not P16.",configured,instrument_session_timeframe_regime,YES,missing_calibration_parameters: INSUFFICIENT_EVIDENCE; missing_required_input: REFUSE_TO_CLASSIFY; missing_optional_input: DEGRADED_CONFIDENCE,status=calibration_required; unit=configured
2: Level Interaction & Acceptance,ch02_level_test_sequence,Level Test Sequence,CALIBRATED,spec/detection_specs/ch02_level_test_sequence.yaml,test_separation_requirement,"test_separation_requirement parameter; value must be supplied by later calibration or method configuration, not P16.",configured,instrument_session_timeframe_regime,YES,missing_calibration_parameters: INSUFFICIENT_EVIDENCE; missing_required_input: REFUSE_TO_CLASSIFY; missing_optional_input: DEGRADED_CONFIDENCE,status=calibration_required; unit=configured
2: Level Interaction & Acceptance,ch02_liquidity_sweep_vs_real_break,Liquidity Sweep vs. Real Break,CALIBRATED,spec/detection_specs/ch02_liquidity_sweep_vs_real_break.yaml,continuation_requirement,"continuation_requirement parameter; value must be supplied by later calibration or method configuration, not P16.",configured,instrument_session_timeframe_regime,YES,missing_calibration_parameters: INSUFFICIENT_EVIDENCE; missing_required_input: REFUSE_TO_CLASSIFY; missing_optional_input: DEGRADED_CONFIDENCE,status=calibration_required; unit=configured
2: Level Interaction & Acceptance,ch02_liquidity_sweep_vs_real_break,Liquidity Sweep vs. Real Break,CALIBRATED,spec/detection_specs/ch02_liquidity_sweep_vs_real_break.yaml,hold_beyond_level_window,"hold_beyond_level_window parameter; value must be supplied by later calibration or method configuration, not P16.",configured,instrument_session_timeframe_regime,YES,missing_calibration_parameters: INSUFFICIENT_EVIDENCE; missing_required_input: REFUSE_TO_CLASSIFY; missing_optional_input: DEGRADED_CONFIDENCE,status=calibration_required; unit=configured
2: Level Interaction & Acceptance,ch02_liquidity_sweep_vs_real_break,Liquidity Sweep vs. Real Break,CALIBRATED,spec/detection_specs/ch02_liquidity_sweep_vs_real_break.yaml,probe_velocity_requirement,"probe_velocity_requirement parameter; value must be supplied by later calibration or method configuration, not P16.",configured,instrument_session_timeframe_regime,YES,missing_calibration_parameters: INSUFFICIENT_EVIDENCE; missing_required_input: REFUSE_TO_CLASSIFY; missing_optional_input: DEGRADED_CONFIDENCE,status=calibration_required; unit=configured
2: Level Interaction & Acceptance,ch02_liquidity_sweep_vs_real_break,Liquidity Sweep vs. Real Break,CALIBRATED,spec/detection_specs/ch02_liquidity_sweep_vs_real_break.yaml,reclaim_window,"reclaim_window parameter; value must be supplied by later calibration or method configuration, not P16.",configured,instrument_session_timeframe_regime,YES,missing_calibration_parameters: INSUFFICIENT_EVIDENCE; missing_required_input: REFUSE_TO_CLASSIFY; missing_optional_input: DEGRADED_CONFIDENCE,status=calibration_required; unit=configured
2: Level Interaction & Acceptance,ch02_liquidity_sweep_vs_real_break,Liquidity Sweep vs. Real Break,CALIBRATED,spec/detection_specs/ch02_liquidity_sweep_vs_real_break.yaml,sweep_probe_distance,"sweep_probe_distance parameter; value must be supplied by later calibration or method configuration, not P16.",configured,instrument_session_timeframe_regime,YES,missing_calibration_parameters: INSUFFICIENT_EVIDENCE; missing_required_input: REFUSE_TO_CLASSIFY; missing_optional_input: DEGRADED_CONFIDENCE,status=calibration_required; unit=configured
2: Level Interaction & Acceptance,ch02_mechanical_levels_and_obvious_traps,Mechanical Levels & Obvious Traps,JUDGMENT_ASSISTED,spec/detection_specs/ch02_mechanical_levels_and_obvious_traps.yaml,mechanical_levels_and_obvious_traps_downgrade_rule,"Rule for downgrading late, conflicted, thin, or unsupported evidence.",confidence_rule,instrument_session_timeframe_regime,REVIEW_REQUIRED,missing_calibration_parameters: INSUFFICIENT_EVIDENCE; missing_required_input: INSUFFICIENT_EVIDENCE; missing_optional_input: DEGRADED_CONFIDENCE,status=review_required; unit=confidence_rule
2: Level Interaction & Acceptance,ch02_mechanical_levels_and_obvious_traps,Mechanical Levels & Obvious Traps,JUDGMENT_ASSISTED,spec/detection_specs/ch02_mechanical_levels_and_obvious_traps.yaml,mechanical_levels_and_obvious_traps_evidence_weighting_protocol,Review protocol for weighing evidence families without pretending the read is deterministic.,human_review_rule,instrument_session_timeframe_regime,REVIEW_REQUIRED,missing_calibration_parameters: INSUFFICIENT_EVIDENCE; missing_required_input: INSUFFICIENT_EVIDENCE; missing_optional_input: DEGRADED_CONFIDENCE,status=review_required; unit=human_review_rule
2: Level Interaction & Acceptance,ch02_polarity_flip,Polarity Flip,CALIBRATED,spec/detection_specs/ch02_polarity_flip.yaml,accepted_break_requirement,"accepted_break_requirement parameter; value must be supplied by later calibration or method configuration, not P16.",configured,instrument_session_timeframe_regime,YES,missing_calibration_parameters: INSUFFICIENT_EVIDENCE; missing_required_input: REFUSE_TO_CLASSIFY; missing_optional_input: DEGRADED_CONFIDENCE,status=calibration_required; unit=configured
2: Level Interaction & Acceptance,ch02_polarity_flip,Polarity Flip,CALIBRATED,spec/detection_specs/ch02_polarity_flip.yaml,flip_failure_return_window,"flip_failure_return_window parameter; value must be supplied by later calibration or method configuration, not P16.",configured,instrument_session_timeframe_regime,YES,missing_calibration_parameters: INSUFFICIENT_EVIDENCE; missing_required_input: REFUSE_TO_CLASSIFY; missing_optional_input: DEGRADED_CONFIDENCE,status=calibration_required; unit=configured
2: Level Interaction & Acceptance,ch02_polarity_flip,Polarity Flip,CALIBRATED,spec/detection_specs/ch02_polarity_flip.yaml,hold_or_reject_requirement,"hold_or_reject_requirement parameter; value must be supplied by later calibration or method configuration, not P16.",configured,instrument_session_timeframe_regime,YES,missing_calibration_parameters: INSUFFICIENT_EVIDENCE; missing_required_input: REFUSE_TO_CLASSIFY; missing_optional_input: DEGRADED_CONFIDENCE,status=calibration_required; unit=configured
2: Level Interaction & Acceptance,ch02_polarity_flip,Polarity Flip,CALIBRATED,spec/detection_specs/ch02_polarity_flip.yaml,level_buffer,"level_buffer parameter; value must be supplied by later calibration or method configuration, not P16.",configured,instrument_session_timeframe_regime,YES,missing_calibration_parameters: INSUFFICIENT_EVIDENCE; missing_required_input: REFUSE_TO_CLASSIFY; missing_optional_input: DEGRADED_CONFIDENCE,status=calibration_required; unit=configured
2: Level Interaction & Acceptance,ch02_polarity_flip,Polarity Flip,CALIBRATED,spec/detection_specs/ch02_polarity_flip.yaml,retest_window,"retest_window parameter; value must be supplied by later calibration or method configuration, not P16.",configured,instrument_session_timeframe_regime,YES,missing_calibration_parameters: INSUFFICIENT_EVIDENCE; missing_required_input: REFUSE_TO_CLASSIFY; missing_optional_input: DEGRADED_CONFIDENCE,status=calibration_required; unit=configured
2: Level Interaction & Acceptance,ch02_structural_reference_levels,Structural Reference Levels,COMPUTABLE,spec/detection_specs/ch02_structural_reference_levels.yaml,ib_window_definition,Session convention used only to locate the Initial Balance reference; defined by the Initial Balance spec.,,"Inherited from ch03_initial_balance; product/session convention, not a calibrated market threshold.",YES,missing_required_input: REFUSE_TO_CLASSIFY,status=convention_inherited; source_spec_declares_value; inventory_omits_values
2: Level Interaction & Acceptance,ch02_structural_reference_levels,Structural Reference Levels,COMPUTABLE,spec/detection_specs/ch02_structural_reference_levels.yaml,swing_pivot_rule,"The swing-pivot identification rule is an external structural-reference definition, not a market threshold; values are out of scope here.",,instrument_timeframe,YES,missing_required_input: REFUSE_TO_CLASSIFY,status=external_definition_required
3: Auction & Market Profile,ch03_auction_acceptance_vs_rejection,Auction Acceptance vs. Rejection,CALIBRATED,spec/detection_specs/ch03_auction_acceptance_vs_rejection.yaml,accepted_tpo_development_requirement,Profile-development requirement for accepted auction-area trade.,profile_period_count_or_relative_tpo_density,instrument_session_timeframe_regime,YES,"missing_calibration_parameters: INSUFFICIENT_EVIDENCE: profile-aware rule structure cannot be evaluated without calibrated dwell, development, and rejection parameters.; missing_required_input: REFUSE_TO_CLASSIFY",status=calibration_required; unit=profile_period_count_or_relative_tpo_density
3: Auction & Market Profile,ch03_auction_acceptance_vs_rejection,Auction Acceptance vs. Rejection,CALIBRATED,spec/detection_specs/ch03_auction_acceptance_vs_rejection.yaml,accepted_volume_development_requirement,Volume-at-price development requirement when volume profile is the selected profile method.,relative_volume_at_price_density,instrument_session_timeframe_regime,YES,"missing_calibration_parameters: INSUFFICIENT_EVIDENCE: profile-aware rule structure cannot be evaluated without calibrated dwell, development, and rejection parameters.; missing_required_input: REFUSE_TO_CLASSIFY",status=calibration_required; unit=relative_volume_at_price_density
3: Auction & Market Profile,ch03_auction_acceptance_vs_rejection,Auction Acceptance vs. Rejection,CALIBRATED,spec/detection_specs/ch03_auction_acceptance_vs_rejection.yaml,auction_extension_buffer,Minimum excursion beyond the auction reference area before an extension is considered for classification.,price_distance_ticks_or_profile_increment,instrument_session_timeframe_regime,YES,"missing_calibration_parameters: INSUFFICIENT_EVIDENCE: profile-aware rule structure cannot be evaluated without calibrated dwell, development, and rejection parameters.; missing_required_input: REFUSE_TO_CLASSIFY",status=calibration_required; unit=price_distance_ticks_or_profile_increment
3: Auction & Market Profile,ch03_auction_acceptance_vs_rejection,Auction Acceptance vs. Rejection,CALIBRATED,spec/detection_specs/ch03_auction_acceptance_vs_rejection.yaml,profile_development_window,Observation window in which TPO/time development must appear.,duration_or_profile_periods,instrument_session_timeframe_regime,YES,"missing_calibration_parameters: INSUFFICIENT_EVIDENCE: profile-aware rule structure cannot be evaluated without calibrated dwell, development, and rejection parameters.; missing_required_input: REFUSE_TO_CLASSIFY",status=calibration_required; unit=duration_or_profile_periods
3: Auction & Market Profile,ch03_auction_acceptance_vs_rejection,Auction Acceptance vs. Rejection,CALIBRATED,spec/detection_specs/ch03_auction_acceptance_vs_rejection.yaml,rejection_return_window,Window in which return toward the prior accepted area qualifies as rejection.,duration_or_profile_periods,instrument_session_timeframe_regime,YES,"missing_calibration_parameters: INSUFFICIENT_EVIDENCE: profile-aware rule structure cannot be evaluated without calibrated dwell, development, and rejection parameters.; missing_required_input: REFUSE_TO_CLASSIFY",status=calibration_required; unit=duration_or_profile_periods
3: Auction & Market Profile,ch03_auction_acceptance_vs_rejection,Auction Acceptance vs. Rejection,CALIBRATED,spec/detection_specs/ch03_auction_acceptance_vs_rejection.yaml,single_print_rejection_requirement,Single-print or thin-structure criteria used as rejection confirmation where TPO data exists.,tpo_structure,instrument_session_timeframe_regime,YES,"missing_calibration_parameters: INSUFFICIENT_EVIDENCE: profile-aware rule structure cannot be evaluated without calibrated dwell, development, and rejection parameters.; missing_required_input: REFUSE_TO_CLASSIFY",status=calibration_required; unit=tpo_structure
3: Auction & Market Profile,ch03_completed_failed_and_unfinished_auctions,"Completed, Failed & Unfinished Auctions",CALIBRATED,spec/detection_specs/ch03_completed_failed_and_unfinished_auctions.yaml,excess_tail_requirement,Calibrated profile structure required for completed auction/excess.,tpo_structure,instrument_session_timeframe_regime,YES,missing_calibration_parameters: INSUFFICIENT_EVIDENCE; missing_required_input: REFUSE_TO_CLASSIFY; missing_optional_input: DEGRADED_CONFIDENCE,status=calibration_required; unit=tpo_structure
3: Auction & Market Profile,ch03_completed_failed_and_unfinished_auctions,"Completed, Failed & Unfinished Auctions",CALIBRATED,spec/detection_specs/ch03_completed_failed_and_unfinished_auctions.yaml,failed_auction_reclaim_window,Window for break and return through auction reference.,duration_or_bars,instrument_session_timeframe_regime,YES,missing_calibration_parameters: INSUFFICIENT_EVIDENCE; missing_required_input: REFUSE_TO_CLASSIFY; missing_optional_input: DEGRADED_CONFIDENCE,status=calibration_required; unit=duration_or_bars
