chapter,concept_id,display_name,determinism_class,glossary_ref,spec_file,review_status,required_inputs_count,optional_inputs_count,states_emitted_count,forbidden_outputs_count
9: Intermarket Confirmation,ch09_gold_drivers_real_yields_dxy_breakevens,"Gold Drivers: Real Yields, DXY, Breakevens",JUDGMENT_ASSISTED,glossary/chapter_09_intermarket_confirmation.md#gold-drivers-real-yields-dxy-breakevens,spec/detection_specs/ch09_gold_drivers_real_yields_dxy_breakevens.yaml,DRAFT,6,4,8,12
9: Intermarket Confirmation,ch09_intermarket_confirmation_general_principle,Intermarket Confirmation (General Principle),JUDGMENT_ASSISTED,glossary/chapter_09_intermarket_confirmation.md#intermarket-confirmation-general-principle,spec/detection_specs/ch09_intermarket_confirmation_general_principle.yaml,DRAFT,5,3,8,12
9: Intermarket Confirmation,ch09_nq_es_relative_strength_and_index_internals,NQ/ES Relative Strength & Index Internals,JUDGMENT_ASSISTED,glossary/chapter_09_intermarket_confirmation.md#nqes-relative-strength-index-internals,spec/detection_specs/ch09_nq_es_relative_strength_and_index_internals.yaml,DRAFT,5,2,8,12
9: Intermarket Confirmation,ch09_the_yield_curve_and_rate_repricing,The Yield Curve & Rate Repricing,JUDGMENT_ASSISTED,glossary/chapter_09_intermarket_confirmation.md#the-yield-curve-rate-repricing,spec/detection_specs/ch09_the_yield_curve_and_rate_repricing.yaml,DRAFT,7,1,8,12
9: Intermarket Confirmation,ch09_treasury_auctions_and_supply,Treasury Auctions & Supply,JUDGMENT_ASSISTED,glossary/chapter_09_intermarket_confirmation.md#treasury-auctions-supply,spec/detection_specs/ch09_treasury_auctions_and_supply.yaml,DRAFT,4,3,8,12
9: Intermarket Confirmation,ch09_treasury_cash_futures_and_basis,Treasury Cash/Futures & Basis,JUDGMENT_ASSISTED,glossary/chapter_09_intermarket_confirmation.md#treasury-cashfutures-basis,spec/detection_specs/ch09_treasury_cash_futures_and_basis.yaml,DRAFT,4,4,8,12
9: Intermarket Confirmation,ch09_vix_credit_and_cross_asset_risk_tone,"VIX, Credit & Cross-Asset Risk Tone",JUDGMENT_ASSISTED,glossary/chapter_09_intermarket_confirmation.md#vix-credit-cross-asset-risk-tone,spec/detection_specs/ch09_vix_credit_and_cross_asset_risk_tone.yaml,DRAFT,7,1,8,12
10: Catalyst Interpretation,ch10_catalyst_effect_on_thesis,Catalyst Effect on Thesis,JUDGMENT_ASSISTED,glossary/chapter_10_catalyst_interpretation.md#catalyst-effect-on-thesis,spec/detection_specs/ch10_catalyst_effect_on_thesis.yaml,DRAFT,6,1,8,12
10: Catalyst Interpretation,ch10_catalyst_to_trade_translation,Catalyst-to-Trade Translation,CONTEXT_ONLY,glossary/chapter_10_catalyst_interpretation.md#catalyst-to-trade-translation,spec/detection_specs/ch10_catalyst_to_trade_translation.yaml,DRAFT,8,1,7,12
10: Catalyst Interpretation,ch10_narrative_consensus_and_disagreement,Narrative Consensus & Disagreement,JUDGMENT_ASSISTED,glossary/chapter_10_catalyst_interpretation.md#narrative-consensus-disagreement,spec/detection_specs/ch10_narrative_consensus_and_disagreement.yaml,DRAFT,6,1,8,12
10: Catalyst Interpretation,ch10_new_information_vs_recycled_context,New Information vs. Recycled Context,JUDGMENT_ASSISTED,glossary/chapter_10_catalyst_interpretation.md#new-information-vs-recycled-context,spec/detection_specs/ch10_new_information_vs_recycled_context.yaml,DRAFT,6,2,8,12
10: Catalyst Interpretation,ch10_pricing_in,Pricing-In,JUDGMENT_ASSISTED,glossary/chapter_10_catalyst_interpretation.md#pricing-in,spec/detection_specs/ch10_pricing_in.yaml,DRAFT,4,3,8,12
10: Catalyst Interpretation,ch10_source_quality,Source Quality,JUDGMENT_ASSISTED,glossary/chapter_10_catalyst_interpretation.md#source-quality,spec/detection_specs/ch10_source_quality.yaml,DRAFT,5,2,8,12
10: Catalyst Interpretation,ch10_transmission_mechanism_and_order_effects,Transmission Mechanism & Order Effects,JUDGMENT_ASSISTED,glossary/chapter_10_catalyst_interpretation.md#transmission-mechanism-order-effects,spec/detection_specs/ch10_transmission_mechanism_and_order_effects.yaml,DRAFT,5,1,8,12
11: Trade-State Management,ch11_active_trade_state_vs_market_thesis_state,Active Trade State vs. Market Thesis State,JUDGMENT_ASSISTED,glossary/chapter_11_trade_state_management.md#active-trade-state-vs-market-thesis-state,spec/detection_specs/ch11_active_trade_state_vs_market_thesis_state.yaml,DRAFT,5,4,8,12
11: Trade-State Management,ch11_maintenance_conditions,Maintenance Conditions,JUDGMENT_ASSISTED,glossary/chapter_11_trade_state_management.md#maintenance-conditions,spec/detection_specs/ch11_maintenance_conditions.yaml,DRAFT,2,1,8,12
11: Trade-State Management,ch11_review_reduce_stand_aside_state,Review / Reduce / Stand-Aside State,JUDGMENT_ASSISTED,glossary/chapter_11_trade_state_management.md#review-reduce-stand-aside-state,spec/detection_specs/ch11_review_reduce_stand_aside_state.yaml,DRAFT,5,1,8,12
11: Trade-State Management,ch11_thesis_confirmation_vs_execution_permission,Thesis Confirmation vs. Execution Permission,CONTEXT_ONLY,glossary/chapter_11_trade_state_management.md#thesis-confirmation-vs-execution-permission,spec/detection_specs/ch11_thesis_confirmation_vs_execution_permission.yaml,DRAFT,7,1,7,12
11: Trade-State Management,ch11_thesis_invalidation,Thesis Invalidation,JUDGMENT_ASSISTED,glossary/chapter_11_trade_state_management.md#thesis-invalidation,spec/detection_specs/ch11_thesis_invalidation.yaml,DRAFT,5,3,8,12
11: Trade-State Management,ch11_thesis_replacement_and_bias_flip,Thesis Replacement & Bias Flip,JUDGMENT_ASSISTED,glossary/chapter_11_trade_state_management.md#thesis-replacement-bias-flip,spec/detection_specs/ch11_thesis_replacement_and_bias_flip.yaml,DRAFT,6,3,8,12
11: Trade-State Management,ch11_thesis_staleness_and_expiration,Thesis Staleness & Expiration,JUDGMENT_ASSISTED,glossary/chapter_11_trade_state_management.md#thesis-staleness-expiration,spec/detection_specs/ch11_thesis_staleness_and_expiration.yaml,DRAFT,7,1,8,12
11: Trade-State Management,ch11_thesis_state_lifecycle,Thesis State Lifecycle,JUDGMENT_ASSISTED,glossary/chapter_11_trade_state_management.md#thesis-state-lifecycle,spec/detection_specs/ch11_thesis_state_lifecycle.yaml,DRAFT,8,1,8,12
11: Trade-State Management,ch11_thesis_weakening_and_degradation,Thesis Weakening & Degradation,JUDGMENT_ASSISTED,glossary/chapter_11_trade_state_management.md#thesis-weakening-degradation,spec/detection_specs/ch11_thesis_weakening_and_degradation.yaml,DRAFT,9,1,8,12
12: Setup Quality & Action Vocabulary,ch12_action_vocabulary,Action Vocabulary,CONTEXT_ONLY,glossary/chapter_12_setup_quality_action_vocabulary.md#action-vocabulary,spec/detection_specs/ch12_action_vocabulary.yaml,DRAFT,6,1,8,12
12: Setup Quality & Action Vocabulary,ch12_alignment_across_dimensions,Alignment Across Dimensions,JUDGMENT_ASSISTED,glossary/chapter_12_setup_quality_action_vocabulary.md#alignment-across-dimensions,spec/detection_specs/ch12_alignment_across_dimensions.yaml,DRAFT,9,1,8,12
