chapter_number,chapter_title,concept_name,determinism_class,required_inputs,optional_inputs,missing_feed_behavior,calibration_needed,human_judgment_needed,spec_candidate,notes
3,"Auction & Market Profile","Excess vs. Poor Highs/Lows",CALIBRATED,"Market Profile / TPO data, price sequence","Rejection speed, participation","Not detectable without profile/TPO data; refuse",true,false,true,"Tail vs flat extreme; magnet behavior is context; Detection Readiness added in P12"
3,"Auction & Market Profile","Value Area: VAH / VAL / POC",COMPUTABLE,"Market Profile / TPO / volume-at-price, session boundaries","None","NOT_DETECTABLE without volume-at-price or TPO data",false,false,true,"Hard data dependency; mechanically computed once profile data exists; Detection Readiness added in P12"
3,"Auction & Market Profile","Value Migration & Overlap",COMPUTABLE,"Per-session value areas (profile data)","None","Not detectable without profile data",false,false,true,"Day-over-day mechanical comparison; trend-at-value read; Detection Readiness added in P12"
3,"Auction & Market Profile","Price Outside Value / Acceptance Test",CALIBRATED,"Value-area reference, price sequence, volume-at-price beyond value","None","Downgrade to bare inside/outside-value flag",true,false,true,"Live acceptance test; calibrated dwell; Detection Readiness added in P12"
3,"Auction & Market Profile","Volume Nodes & Air Pockets",CALIBRATED,"Volume-at-price / volume-profile data, prior price path","None","Not detectable without volume-at-price data; refuse",true,false,true,"HVN/LVN map; calibrated node/gap thresholds; Detection Readiness added in P12"
3,"Auction & Market Profile","Single Prints",COMPUTABLE,"TPO / Market Profile data, defined TPO period","Volume-at-price low-volume node (proxy)","NOT_DETECTABLE without TPO data",false,false,true,"Mechanically identified; excess/initiative interpretation is separate; Detection Readiness added in P12"
3,"Auction & Market Profile","Initial Balance",COMPUTABLE,"Session clock, RTH bars","Historical IB widths","Refuse without session clock or bars",false,false,true,"IB high/low computable; width-vs-average is a calibrated comparison; Detection Readiness added in P12"
3,"Auction & Market Profile","VWAP Relationship",COMPUTABLE,"Intraday trade price, volume","Anchor events (for anchored VWAP)","Refuse without volume; no simple-average substitute",false,false,true,"Calculation computable; magnet/SR behavior is regime-dependent; Detection Readiness added in P12"
3,"Auction & Market Profile","Overnight Inventory & Inventory Correction",JUDGMENT_ASSISTED,"Overnight bars, RTH open","Overnight profile shape, positioning data","Keep lopsidedness read provisional",true,true,true,"Range computable; too-long/short and correction call are inference; Detection Readiness added in P12"
3,"Auction & Market Profile","Short-Covering vs. Long-Liquidation Auctions",JUDGMENT_ASSISTED,"Price sequence, value behavior","Cumulative delta, aggression, positioning/COT/options","Label inferred covering/liquidation context",true,true,true,"Forced-flow vs fresh-initiative is judgment; Detection Readiness added in P12"
3,"Auction & Market Profile","Fresh Flow vs. Weak/Strong Hands",JUDGMENT_ASSISTED,"Price sequence, value behavior","Delta, aggression","Keep participant-quality read provisional",true,true,true,"Participant quality not directly observable; Detection Readiness added in P12"
4,"Tape Reading & Microstructure","Absorption",JUDGMENT_ASSISTED,"Footprint / DOM / cumulative delta, volume, price behavior","Time-at-price","Emit NOT_DETECTABLE or insufficient evidence without footprint/DOM/delta",true,true,true,"Effort-without-result read; feed-dependent; Detection Readiness added in P12"
4,"Tape Reading & Microstructure","Refreshing Liquidity",NOT_DETECTABLE_WITH_CURRENT_FEEDS,"DOM depth updates / iceberg event data","None","Do not claim; falls back to the Absorption read",false,true,false,"Order-book phenomenon; cannot be read from bars or tape; Detection Readiness added in P12"
4,"Tape Reading & Microstructure","Chasing vs. Pressing",JUDGMENT_ASSISTED,"Bid/ask-classified trade data or footprint, price, volume","Tape-speed baselines","Fall back to coarse price-velocity context",true,true,true,"Vacuum-vs-demand read is interpretive; Detection Readiness added in P12"
4,"Tape Reading & Microstructure","Stall & Snap-Back",CALIBRATED,"Price sequence, structural level","Cumulative delta, wick structure","Reduce to bar-structure stall/snap-back",true,false,true,"Velocity and snap-back thresholds calibrated; Detection Readiness added in P12"
4,"Tape Reading & Microstructure","Tape Quality Spectrum",CALIBRATED,"Tick data, spread history, depth (ideal); bars as proxy","None","Downgrade confidence and narrow claim",true,false,true,"Execution-environment condition, not directional; Detection Readiness added in P12"
4,"Tape Reading & Microstructure","Tape vs. Narrative",JUDGMENT_ASSISTED,"Catalyst/news timestamps, price and delta behavior, structural references","Source quality","Price-only read or downgrade",true,true,true,"Transmission-mechanism judgment; Detection Readiness added in P12"
4,"Tape Reading & Microstructure","Spread Behavior",CALIBRATED,"Bid/ask quote data","Depth behind inside quote, economic calendar","Refuse without quote data",true,false,true,"Cost-and-condition read; calibrated baselines; Detection Readiness added in P12"
4,"Tape Reading & Microstructure","Liquidity Pulls & Replenishment",NOT_DETECTABLE_WITH_CURRENT_FEEDS,"DOM / depth-of-market data across multiple levels","None","Do not claim; air-pocket price behavior is low-confidence context only",false,true,false,"Order-book phenomenon; bars cannot show the book emptying; Detection Readiness added in P12"
4,"Tape Reading & Microstructure","Sweeps Through Liquidity",CALIBRATED,"Price sequence, structural levels","Tick data, cumulative delta","Coarse price-spike structure, lower confidence",true,false,true,"Sweep is direction-neutral; emit post-sweep state; Detection Readiness added in P12"
4,"Tape Reading & Microstructure","Cumulative Delta & Delta Divergence",JUDGMENT_ASSISTED,"Bid/ask-classified trade or footprint data, price, structural location","None","NOT_DETECTABLE without trade-classification data",true,true,true,"Effort not outcome; never stand-alone; Detection Readiness added in P12"
5,"Momentum, Follow-Through & Day Types","Impulse vs. Grind",CALIBRATED,"Price bars, volume, session context, volatility baselines","Tape, volume-at-price","Downgrade to structural texture",true,false,true,"Protocol calibrated example; Detection Readiness present and valid; left unchanged"
5,"Momentum, Follow-Through & Day Types","Momentum Ignition, Stall & Exhaustion",JUDGMENT_ASSISTED,"Price, volume, session state, volatility baselines, structural references","Tape, delta, footprint, DOM","Downgrade; block absorption/exhaustion claims",true,true,true,"Left unchanged"
5,"Momentum, Follow-Through & Day Types","Follow-Through and Failure",CALIBRATED,"Structural level, price sequence","Volume, value, tape, delta","Reduce to structural follow-through only",true,false,true,"Left unchanged"
5,"Momentum, Follow-Through & Day Types","Exhaustion",JUDGMENT_ASSISTED,"Price, volume, structural references, value/profile","Delta, footprint","Lower-confidence structural read",true,true,true,"Left unchanged"
5,"Momentum, Follow-Through & Day Types","Close Quality",JUDGMENT_ASSISTED,"Session structure, range, value, close location","Imbalance feeds, volume profile, cumulative delta","Compute close location only; no causal claims",true,true,true,"Left unchanged"
5,"Momentum, Follow-Through & Day Types","One-Timeframing",COMPUTABLE,"Clean period bars, defined session/timeframe","Profile, value, tape, delta","Structural state still computable",false,false,true,"Structural state computable; quality interpretation separate; left unchanged"
5,"Momentum, Follow-Through & Day Types","Day-Type Taxonomy",JUDGMENT_ASSISTED,"Session bars, IB references, prior value, volume/profile","Tape, delta","Keep day-type labels provisional",true,true,true,"Left unchanged"
6,"Traps & Positioning","Trapped Traders",JUDGMENT_ASSISTED,"Structural levels, price sequence, level interaction, value behavior","Tape, delta","Treat as lower-confidence context",true,true,true,"Left unchanged"
6,"Traps & Positioning","Strong Hands Defending",JUDGMENT_ASSISTED,"Level behavior, repeated-test quality, value behavior","Absorption, delta, DOM","Describe observable result only",true,true,true,"Left unchanged"
6,"Traps & Positioning","Stop-Out Cascades & Liquidation",CALIBRATED,"Price sequence, structural levels, velocity/volume, session state","Tick/tape data","Cascade-like behavior only; no liquidation claims",true,false,true,"Left unchanged"
6,"Traps & Positioning","Short-Covering Rally",JUDGMENT_ASSISTED,"Failed-breakdown/reclaim sequence, structural levels, value behavior","Tape, delta, positioning data","Label inferred short-covering context",true,true,true,"Left unchanged"
6,"Traps & Positioning","Crowded Trades & Pain Trades",CONTEXT_ONLY,"Structural sequence, positioning/sentiment proxies, value behavior","Options OI, COT, fund-flow data","Describe observable vulnerability only",false,true,false,"Context/vulnerability concept; not a direct detector; left unchanged"
6,"Traps & Positioning","Dealer Gamma Dynamics",NOT_DETECTABLE_WITH_CURRENT_FEEDS,"Options OI, implied-vol surface, strike exposure, expiration calendar, dealer-position model","None","Do not claim gamma; describe price behavior only",false,true,false,"Requires unavailable options data and a model; left unchanged"
6,"Traps & Positioning","Mechanical Flows (Rebalance / Month-End / Roll)",CONTEXT_ONLY,"Session clock, calendar, roll/settlement schedule, auction imbalance data","Contract volume / open interest","Flag time-window context only; require confirmation",false,true,false,"Context/risk-condition module; not an actionable detector; left unchanged"
7,"Session Context & Sequencing","Session Sequencing",JUDGMENT_ASSISTED,"Session bars/boundaries, structural references","Profile, delta, DOM, session statistics","Structural/contextual sequencing only",true,true,true,"Left unchanged"
7,"Session Context & Sequencing","Asia Session Character",CALIBRATED,"Session bars, volume, session definitions","Profile / volume-at-price","Downgrade to structural context",true,false,true,"Range-quality calibration; left unchanged"
7,"Session Context & Sequencing","London Initiative & Traps",JUDGMENT_ASSISTED,"Session bars, session clock, volume, structural references","Profile, delta, DOM, footprint","Downgrade trap claims",true,true,true,"Left unchanged"
7,"Session Context & Sequencing","NY Inheritance vs. Rejection",JUDGMENT_ASSISTED,"Session bars, prior value/profile references, volume, session clock","Delta, footprint, DOM, internals, intermarket","Keep contextual",true,true,true,"Left unchanged"
7,"Session Context & Sequencing","RTH Open Location",COMPUTABLE,"Session clock, RTH open price, overnight high/low, prior value/range references","Profile data","Limit value-based classifications",false,false,true,"Open location computable; interpretation separate; left unchanged"
7,"Session Context & Sequencing","Opening Type Taxonomy",JUDGMENT_ASSISTED,"RTH bars, session clock, prior references, volume","Delta, DOM, footprint, profile, internals","Keep classification provisional",true,true,true,"Left unchanged"
7,"Session Context & Sequencing","Intraday Time Windows",JUDGMENT_ASSISTED,"Session clock, bars, volume, spread","DOM, depth, imbalance feeds, cash data, delta","Downgrade to time-window context",true,true,true,"Left unchanged"
7,"Session Context & Sequencing","Session Quality vs. Session Completion",JUDGMENT_ASSISTED,"Range, value, session references, close location, profile structure","Tape, delta, DOM, imbalance, settlement data","Block causal claims about completion",true,true,true,"Left unchanged"
8,"Volatility Regime","Compression vs. Expansion",CALIBRATED,"Price bars, range statistics, session range, realized volatility, value behavior","Profile, volume, tape","Structural volatility context only",true,false,true,"Left unchanged"
8,"Volatility Regime","Expansion Outcomes (Trend / Chop / Exhaustion)",JUDGMENT_ASSISTED,"Price sequence, volatility baseline, structural references","Volume/profile, tape","Prevent strong trend/chop/exhaustion classification",true,true,true,"Left unchanged"
8,"Volatility Regime","Volatility Crush & Reset",CALIBRATED,"Realized volatility, range contraction, spread behavior, event timing, auction development","Implied-vol/options data, DOM","Limit to observed realized-volatility behavior",true,false,true,"Left unchanged"
8,"Volatility Regime","Inside/Outside & Narrow/Wide Range Days",COMPUTABLE,"Session high/low data, clean session definitions","Profile, tape (for quality)","Block classification on bad session data",false,false,true,"Inside/outside computable; narrow/wide need calibrated comparison; left unchanged"
8,"Volatility Regime","Event Volatility Regime",JUDGMENT_ASSISTED,"Event calendar, price/range/spread behavior","Tape, depth, options, intermarket","Prevent scheduled-event classification without calendar",true,true,true,"Left unchanged"
8,"Volatility Regime","Liquidity-Driven & Mechanical Volatility",JUDGMENT_ASSISTED,"Price sequence, structural levels, velocity, value behavior","DOM, tick, footprint, options/flow data","Conservative language; no participant-motive claims",true,true,true,"Left unchanged"
8,"Volatility Regime","Compression Breakouts (Real vs. False)",CALIBRATED,"Price bars, structural range, session clock","Volume/profile, tape, event calendar","Reduce confidence; no sponsorship or stop-run-motive claims",true,false,true,"Left unchanged"
8,"Volatility Regime","Expanded-Volatility No-Trade Condition",CALIBRATED,"Spread behavior, depth, range expansion, realized volatility, failed-break frequency, feed quality","Tape","Downgrade to structural volatility caution",true,false,true,"Gating/veto detector, never directional; left unchanged"
9,"Intermarket Confirmation","Intermarket Confirmation (General Principle)",JUDGMENT_ASSISTED,"Traded contract, related-market inputs, session and catalyst context","DOM, footprint, delta","Do not claim confirmation from unavailable feeds",true,true,true,"Left unchanged"
9,"Intermarket Confirmation","NQ/ES Relative Strength & Index Internals",JUDGMENT_ASSISTED,"NQ/ES data, cash index, breadth, sector inputs","ETF flow, options data","Stay at futures-relative-strength level",true,true,true,"Left unchanged"
9,"Intermarket Confirmation","Breadth Confirmation & Divergence",CALIBRATED,"Cash index, constituent/advance-decline, sector, equal-weight data","Cumulative delta","Emit no breadth claim",true,false,true,"Left unchanged"
9,"Intermarket Confirmation","VIX, Credit & Cross-Asset Risk Tone",JUDGMENT_ASSISTED,"VIX, credit spreads, rates, dollar, realized volatility, breadth","Options / dealer-gamma estimates","Block claims tied to missing inputs",true,true,true,"Left unchanged"
9,"Intermarket Confirmation","Gold Drivers: Real Yields, DXY, Breakevens",JUDGMENT_ASSISTED,"Gold, real yields, nominal yields, breakevens, DXY","VIX, credit, silver, miners","Prevent driver-channel claims",true,true,true,"Left unchanged"
9,"Intermarket Confirmation","Gold Demand Channels",JUDGMENT_ASSISTED,"Gold price, candidate channel inputs (VIX/credit/breakevens/silver/miners)","ETF/COMEX OI, physical/LBMA data","Prevent strong channel claims",true,true,true,"Left unchanged"
9,"Intermarket Confirmation","Crude Fundamentals: Inventories & Cracks",JUDGMENT_ASSISTED,"Crude price, EIA inventory data, products, refinery utilization, cracks","SPR, calendar spreads, Brent-WTI","No physical-market confirmation claims without report-detail feeds",true,true,true,"Left unchanged"
9,"Intermarket Confirmation","Crude Spreads & Geopolitical Premium",JUDGMENT_ASSISTED,"Crude price, Brent-WTI, calendar spreads, headline context","OPEC communication, dollar, risk tone","Block causal claims",true,true,true,"Left unchanged"
9,"Intermarket Confirmation","Euro/Dollar Drivers",JUDGMENT_ASSISTED,"EUR/USD, DXY, euro crosses, rate differentials","Equities, credit, volatility","Block strong driver claims",true,true,true,"Left unchanged"
9,"Intermarket Confirmation","Euro Event Windows & Carry",JUDGMENT_ASSISTED,"Event timestamps/calendars, session windows, cross-currency moves, rate data","DOM, tick, futures order flow","Block event-window attribution",true,true,true,"Left unchanged"
9,"Intermarket Confirmation","Treasury Cash/Futures & Basis",JUDGMENT_ASSISTED,"Treasury futures, cash yields, yield curve","Basis, CTD, repo, swap data","Block cash-confirmation and basis/repo claims",true,true,true,"Primarily context outside a rates-specific scope; left unchanged"
9,"Intermarket Confirmation","Treasury Auctions & Supply",JUDGMENT_ASSISTED,"Auction statistics, post-auction price, cash yields","Bid-to-cover/takedown detail, curve, cross-asset feeds","Block auction-quality labels",true,true,true,"Left unchanged"
9,"Intermarket Confirmation","The Yield Curve & Rate Repricing",JUDGMENT_ASSISTED,"Treasury cash yields, futures, curve spreads, real yields, breakevens, policy-expectation data","Cross-asset feeds","Block precise driver attribution",true,true,true,"Left unchanged"
10,"Catalyst Interpretation","New Information vs. Recycled Context",JUDGMENT_ASSISTED,"News timestamps, source classification, event calendars, consensus, prior market movement","Tape, intermarket","Prevent novelty claims without catalyst feeds",true,true,true,"Left unchanged"
10,"Catalyst Interpretation","Pricing-In",JUDGMENT_ASSISTED,"Consensus expectations, event details, price/value response","Options/event pricing, tape, intermarket","Prevent priced-in claims without expectation data",true,true,true,"Left unchanged"
10,"Catalyst Interpretation","Transmission Mechanism & Order Effects",JUDGMENT_ASSISTED,"Catalyst classification, product driver mapping, related-market feeds, market response","Source detail","Block channel claims tied to missing inputs",true,true,true,"Left unchanged"
10,"Catalyst Interpretation","Catalyst-to-Trade Translation",CONTEXT_ONLY,"Catalyst evidence, structure, location, tape, volatility, intermarket, setup-quality labels","None","Block promotion from context to permission",false,true,false,"Governance/setup-quality boundary; not a detector; left unchanged"
10,"Catalyst Interpretation","Catalyst Effect on Thesis",JUDGMENT_ASSISTED,"Stored thesis state, catalyst classification, market response, tape, intermarket","None","Downgrade to review-required",true,true,true,"Left unchanged"
10,"Catalyst Interpretation","Narrative Consensus & Disagreement",JUDGMENT_ASSISTED,"Narrative inputs, source classification, positioning proxies, market response, intermarket","Sentiment / news clustering","Prevent consensus claims without narrative feeds",true,true,true,"Left unchanged"
10,"Catalyst Interpretation","Source Quality",JUDGMENT_ASSISTED,"Source metadata (type, timestamp, confirmation count, revision status)","Market reaction, intermarket","Emit insufficient evidence without source metadata",true,true,true,"Left unchanged"
11,"Trade-State Management","Thesis State Lifecycle",JUDGMENT_ASSISTED,"Preserved thesis text, structural references, session context, price/value behavior, catalyst and intermarket context, operator notes","Tape","Unreliable without historical thesis snapshots",true,true,true,"Left unchanged"
11,"Trade-State Management","Thesis Confirmation vs. Execution Permission",CONTEXT_ONLY,"Thesis state, setup-quality observations, location, event calendar, volatility, tape quality","None","Prevent tradable claim without setup-quality evidence",false,true,false,"Governance boundary; not a market detector; left unchanged"
11,"Trade-State Management","Thesis Weakening & Degradation",JUDGMENT_ASSISTED,"Original premise, structure, value, follow-through, tape, catalyst and intermarket context, volatility, session","Specialized order-flow feeds","Block tape/absorption/divergence claims without feeds",true,true,true,"Left unchanged"
11,"Trade-State Management","Thesis Invalidation",JUDGMENT_ASSISTED,"Original premise, predefined invalidation condition, structural/auction/value behavior, preserved thesis artifacts","Tape, catalyst, intermarket","Unreliable without preserved thesis notes",true,true,true,"Left unchanged"
11,"Trade-State Management","Thesis Staleness & Expiration",JUDGMENT_ASSISTED,"Thesis timestamp, session clock, event calendar, structural references, value development, preserved artifacts","Tape","Elapsed time computable; stale-vs-active needs judgment",true,true,true,"Left unchanged"
11,"Trade-State Management","Thesis Replacement & Bias Flip",JUDGMENT_ASSISTED,"Old thesis artifacts, invalidation/staleness evidence, new structural anchors, value behavior, operator notes","Tape, catalyst, intermarket","Hard to distinguish replacement from rewritten bias without artifacts",true,true,true,"Left unchanged"
11,"Trade-State Management","Active Trade State vs. Market Thesis State",JUDGMENT_ASSISTED,"Preserved thesis artifacts, current market state, structural references, value behavior","Trade timestamp, tape, catalyst, intermarket","Descriptive state labels only",true,true,true,"Descriptive only; must not become broker/order automation; left unchanged"
11,"Trade-State Management","Maintenance Conditions",JUDGMENT_ASSISTED,"Thesis-type-specific structure/value/tape/catalyst/intermarket/volatility/session data","Specialized feeds","Block claims about an unmonitored maintenance layer",true,true,true,"Left unchanged"
11,"Trade-State Management","Review / Reduce / Stand-Aside State",JUDGMENT_ASSISTED,"Thesis state, conflict classification, feed availability, setup-quality/tape/volatility/session/catalyst/intermarket context","None","Emit insufficient evidence explicitly",true,true,true,"Refusal/review labels; left unchanged"
12,"Setup Quality & Action Vocabulary","Setup Cleanliness & Timing",JUDGMENT_ASSISTED,"Level interaction, location vs references, session window, volatility state, spread/depth, feed availability","Profile, tape","Emit insufficient evidence per affected layer",true,true,true,"Left unchanged"
12,"Setup Quality & Action Vocabulary","Location Quality",JUDGMENT_ASSISTED,"Distance from references, position vs value/VWAP, session window, range extension, volatility regime, opposing structure","Profile, spread, intermarket","Downgrade confidence",true,true,true,"Left unchanged"
12,"Setup Quality & Action Vocabulary","Asymmetry & Practical R:R",JUDGMENT_ASSISTED,"Structural distances, proximity to references, volatility baselines, spread/depth","Profile, liquidity data","Prevent strong practical-asymmetry claims",true,true,true,"Setup-quality labels only; no exact targets/stops/sizing; left unchanged"
12,"Setup Quality & Action Vocabulary","Invalidation & Confirmation Clarity",JUDGMENT_ASSISTED,"Thesis premise, per-layer proof and failure references","Tape, profile, intermarket","Emit insufficient evidence rather than infer proof",true,true,true,"Left unchanged"
12,"Setup Quality & Action Vocabulary","Alignment Across Dimensions",JUDGMENT_ASSISTED,"Structure, auction, tape, catalyst, intermarket, volatility, session, thesis/setup evidence","None","Represent missing feeds explicitly, not as neutral",true,true,true,"Not an alignment score; left unchanged"
12,"Setup Quality & Action Vocabulary","Setup Fragility",JUDGMENT_ASSISTED,"Proximity to invalidation, volatility state, distance from value, unresolved-conflict count, feed gaps, cross-market dependency","Tape, profile","Increase fragility or emit insufficient evidence",true,true,true,"Left unchanged"
12,"Setup Quality & Action Vocabulary","Execution Environment Quality & Veto",CALIBRATED,"Spread, depth, realized volatility, range expansion, session window, event calendar, feed health, tape speed","Intermarket/volatility feeds","Emit insufficient evidence or a narrower label",true,false,true,"Gating/veto detector, never directional; left unchanged"
12,"Setup Quality & Action Vocabulary","Setup Expression & No Clean Expression",JUDGMENT_ASSISTED,"Thesis context, setup quality, evidence hierarchy","Profile, tape, intermarket","Preserve no-clean-expression/insufficient-evidence rather than force a label",true,true,true,"Output-label governance layer; left unchanged"
12,"Setup Quality & Action Vocabulary","Action Vocabulary",CONTEXT_ONLY,"Evidence hierarchy, thesis state, setup quality, feed availability, market regime","None","Keep labels bounded; insufficient evidence stays explicit",false,true,false,"Semantic governance label set, not a detector; left unchanged"
